procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0 997448 223368  77448 1118040    0    0     0     0  917  497  0  0 100  0  0
 0  0 997448 223368  77448 1118040    0    0     0     0  912  446  1  1 98  0  0
 0  0 997448 223368  77456 1118036    0    0     0    20  907  535  1  1 96  2  0
 0  0 997448 223368  77456 1118044    0    0     0     0  842  454  0  0 100  0  0
 0  0 997448 223368  77456 1118048    0    0     0     0  844  486  0  0 100  0  0
 0  0 997448 223368  77456 1118052    0    0     0     0  838  458  0  0 100  0  0
 0  0 997448 223368  77456 1118052    0    0     0     0  881  527  1  0 99  0  0
 0  0 997448 223368  77464 1118048    0    0     0    20  819  443  0  0 96  4  0
 0  0 997448 223368  77464 1118056    0    0     0     0  852  524  0  0 100  0  0
 0  0 997448 223368  77464 1118060    0    0     0     0  800  442  1  0 99  0  0
 0  0 997448 223368  77464 1118060    0    0     0     0  826  467  0  1 99  0  0
 0  0 997448 223368  77464 1118064    0    0     0   100  863  499  1  0 99  0  0
 0  0 997448 223368  77472 1118056    0    0     0    32  842  505  0  0 98  2  0
 0  0 997448 223368  77472 1118068    0    0     0     0  803  449  0  0 100  0  0
 0  0 997448 223368  77472 1118072    0    0     0     0  864  460  0  1 99  0  0
 0  0 997448 223368  77472 1118072    0    0     0     0  838  430  0  0 100  0  0
 0  0 997448 223368  77472 1118076    0    0     0     0  803  470  0  1 99  0  0
 0  0 997448 223368  77480 1118068    0    0     0    20  821  469  0  0 98  2  0
 0  0 997448 223368  77480 1118080    0    0     0     0  833  421  0  0 100  0  0
 0  0 997448 223368  77480 1118080    0    0     0     0  828  435  0  1 99  0  0
 0  0 997448 223368  77480 1118084    0    0     0     0  889  516  0  0 100  0  0
 0  0 997448 223368  77480 1118084    0    0     0    20  798  444  1  1 98  0  0
 0  0 997448 223368  77488 1118080    0    0     0    16  793  451  0  1 96  3  0
 0  0 997448 223368  77488 1118092    0    0     0     0  799  450  1  0 99  0  0
 0  0 997448 223368  77488 1118084    0    0     0     0  841  454  0  0 100  0  0
 0  0 997448 223368  77488 1118088    0    0     0     0  841  393  1  0 99  0  0
 0  0 997448 223368  77488 1118088    0    0     0     4  923  488  0  0 100  0  0
 0  0 997448 223368  77496 1118084    0    0     0    20  870  418  0  0 100  0  0
 0  0 997448 223368  77496 1118092    0    0     0     0  813  433  0  0 100  0  0
 0  0 997448 223368  77496 1118096    0    0     0     0  842  450  1  1 98  0  0
 0  0 997448 223368  77496 1118096    0    0     0     0  872  431  1  0 99  0  0
 0  0 997448 223368  77496 1118100    0    0     0     0  916  421  0  1 99  0  0
 0  0 997448 223368  77504 1118096    0    0     0    16  911  488  0  0 98  2  0
 0  0 997448 223368  77504 1118104    0    0     0     0  937  442  0  1 99  0  0
 0  0 997448 223368  77504 1118108    0    0     0     0  872  410  0  1 99  0  0
 0  0 997448 223368  77504 1118108    0    0     0     0  864  457  0  1 99  0  0
 0  0 997448 223368  77504 1118112    0    0     0     0  968  491  0  0 100  0  0
 0  0 997448 223368  77512 1118104    0    0     0    24  927  409  0  0 98  2  0
 0  0 997448 223368  77512 1118116    0    0     0     0  928  458  1  0 99  0  0
 0  0 997448 223368  77512 1118116    0    0     0     0  879  423  1  2 97  0  0
 0  0 997448 223368  77512 1118120    0    0     0     0  937  461  0  0 100  0  0
 0  0 997448 223368  77512 1118124    0    0     0     0  871  441  1  1 98  0  0
 0  0 997448 223368  77520 1118116    0    0     0   120  942  472  0  0 98  2  0
 0  0 997448 223368  77520 1118128    0    0     0     0  912  402  1  0 99  0  0
 0  0 997448 223368  77520 1118128    0    0     0     0  894  493  0  0 100  0  0
 0  0 997448 223368  77520 1118136    0    0     0     0  977  411  0  1 99  0  0
 0  0 997448 223368  77520 1118136    0    0     0     0  893  447  0  0 100  0  0
 0  0 997448 223368  77528 1118132    0    0     0    20  946  467  2  1 95  2  0
 0  0 997448 223368  77528 1118144    0    0     0     0  949  456  0  0 100  0  0
